key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
33,1,4,0,-1,"2201, 12, 1, 0",0,"2254, 1, 1, 0",0,"0, 0, 0, 0",0,0,0,65913,0,65913,0,65913,0,65913,0,0,0,0,0,0,0,0,0,0,0
34,5,1,0,-1,"301, 16, 1, 0",0,"351, 16, 1, 0",0,"0, 0, 0, 0",0,65760,0,65760,0,65760,0,65760,0,65760,0,0,0,0,0,0,0,0,0,0,0
35,5,6,0,-1,"2201, 1, 1, 0",0,"2251, 1, 1, 0",0,"0, 0, 0, 0",0,65760,0,65760,0,65760,0,65760,0,65760,0,0,0,0,0,0,0,0,0,0,0
36,6,1,0,-1,"321, 1, 1, 0",0,"371, 1, 1, 0",0,"0, 0, 0, 0",0,65828,0,65828,0,65828,0,65828,0,65828,0,0,0,0,0,0,0,0,0,0,0
37,6,6,0,-1,"2202, 2, 1, 0",0,"2251, 10, 1, 0",0,"0, 0, 0, 0",0,65828,0,65828,0,65828,0,65828,0,65828,0,0,0,0,0,0,0,0,0,0,0
38,7,1,0,-1,"321, 3, 1, 0",0,"371, 3, 1, 0",0,"0, 0, 0, 0",0,65780,0,65780,0,65780,0,65780,0,65780,0,0,0,0,0,0,0,0,0,0,0
39,7,6,0,-1,"2202, 9, 1, 0",0,"2251, 29, 1, 0",0,"0, 0, 0, 0",0,65780,0,65780,0,65780,0,65780,0,65780,0,0,0,0,0,0,0,0,0,0,0
40,8,1,0,-1,"326, 1, 1, 0",0,"376, 1, 1, 0",0,"0, 0, 0, 0",0,131424,0,131424,0,131424,0,131424,0,131424,0,0,0,0,0,0,0,0,0,0,0
41,8,6,0,-1,"2201, 7, 1, 0",0,"2251, 7, 1, 0",0,"0, 0, 0, 0",0,131424,0,131424,0,131424,0,131424,0,131424,0,0,0,0,0,0,0,0,0,0,0
42,9,1,0,-1,"326, 1, 1, 0",73,"376, 1, 1, 0",73,"0, 0, 0, 0",0,131424,73,131424,73,131424,73,131424,73,131424,73,0,0,0,0,0,0,0,0,0,0
43,9,6,0,-1,"2201, 7, 1, 0",73,"2251, 7, 1, 0",73,"0, 0, 0, 0",0,131424,73,131424,73,131424,73,131424,73,131424,73,0,0,0,0,0,0,0,0,0,0
44,10,1,0,-1,"323, 10, 1, 0",0,"373, 10, 1, 0",0,"0, 0, 0, 0",0,65925,0,65925,0,65925,0,65925,0,65925,0,0,0,0,0,0,0,0,0,0,0
45,10,6,0,-1,"2202, 5, 1, 0",0,"2251, 19, 1, 0",0,"0, 0, 0, 0",0,65925,0,65925,0,65925,0,65925,0,65925,0,0,0,0,0,0,0,0,0,0,0
46,11,1,0,-1,"328, 1, 1, 0",0,"378, 1, 1, 0",0,"0, 0, 0, 0",0,65935,0,65935,0,65935,0,65935,0,65935,0,0,0,0,0,0,0,0,0,0,0
47,11,6,0,-1,"2201, 1, 1, 0",0,"2251, 1, 1, 0",0,"0, 0, 0, 0",0,65935,0,65935,0,65935,0,65935,0,65935,0,0,0,0,0,0,0,0,0,0,0
48,12,1,0,-1,"320, 1, 1, 0",0,"370, 1, 1, 0",0,"0, 0, 0, 0",0,65809,0,65809,0,65809,0,65809,0,65809,0,0,0,0,0,0,0,0,0,0,0
49,12,6,0,-1,"2201, 20, 1, 0",0,"2251, 28, 1, 0",0,"0, 0, 0, 0",0,65809,0,65809,0,65809,0,65809,0,65809,0,0,0,0,0,0,0,0,0,0,0
50,13,1,0,-1,"320, 1, 1, 0",1,"370, 1, 1, 0",1,"0, 0, 0, 0",0,65809,1,65809,1,65809,1,65809,1,65809,1,0,0,0,0,0,0,0,0,0,0
51,13,6,0,-1,"2201, 20, 1, 0",1,"2251, 28, 1, 0",1,"0, 0, 0, 0",0,65809,1,65809,1,65809,1,65809,1,65809,1,0,0,0,0,0,0,0,0,0,0
52,14,1,0,-1,"301, 17, 1, 0",0,"351, 17, 1, 0",0,"0, 0, 0, 0",0,131380,0,131380,0,65638,0,65638,0,65638,0,0,0,0,0,0,0,0,0,0,0
53,14,6,0,-1,"2202, 2, 1, 0",0,"2251, 10, 1, 0",0,"0, 0, 0, 0",0,131380,0,131380,0,65638,0,65638,0,65638,0,0,0,0,0,0,0,0,0,0,0
54,15,1,0,-1,"301, 18, 1, 0",0,"351, 18, 1, 0",0,"0, 0, 0, 0",0,131381,0,131381,0,65641,0,65641,0,65641,0,0,0,0,0,0,0,0,0,0,0
55,15,6,0,-1,"2202, 6, 1, 0",0,"2251, 20, 1, 0",0,"0, 0, 0, 0",0,131381,0,131381,0,65641,0,65641,0,65641,0,0,0,0,0,0,0,0,0,0,0
56,16,1,0,-1,"301, 19, 1, 0",0,"351, 19, 1, 0",0,"0, 0, 0, 0",0,131382,0,131382,0,65644,0,65644,0,65644,0,0,0,0,0,0,0,0,0,0,0
57,16,6,0,-1,"2202, 1, 1, 0",0,"2251, 9, 1, 0",0,"0, 0, 0, 0",0,131382,0,131382,0,65644,0,65644,0,65644,0,0,0,0,0,0,0,0,0,0,0
58,17,1,0,-1,"301, 26, 1, 0",0,"351, 26, 1, 0",0,"0, 0, 0, 0",0,65820,0,65820,0,65820,0,65820,0,65820,0,0,0,0,0,0,0,0,0,0,0
59,17,6,0,-1,"2201, 15, 1, 0",0,"2251, 22, 1, 0",0,"0, 0, 0, 0",0,65820,0,65820,0,65820,0,65820,0,65820,0,0,0,0,0,0,0,0,0,0,0
60,18,1,0,-1,"321, 4, 1, 0",0,"371, 4, 1, 0",0,"0, 0, 0, 0",0,0,0,65799,0,65799,0,65799,0,65799,0,0,0,0,0,0,0,0,0,0,0
61,18,6,0,-1,"2201, 3, 1, 0",0,"2251, 3, 1, 0",0,"0, 0, 0, 0",0,0,0,65799,0,65799,0,65799,0,65799,0,0,0,0,0,0,0,0,0,0,0
62,19,1,0,-1,"323, 6, 1, 0",0,"373, 6, 1, 0",0,"0, 0, 0, 0",0,0,0,65972,0,65972,0,65972,0,65972,0,0,0,0,0,0,0,0,0,0,0
63,19,6,0,-1,"2201, 6, 1, 0",0,"2251, 6, 1, 0",0,"0, 0, 0, 0",0,0,0,65972,0,65972,0,65972,0,65972,0,0,0,0,0,0,0,0,0,0,0
64,20,1,0,-1,"301, 10, 1, 0",0,"351, 10, 1, 0",0,"0, 0, 0, 0",0,0,0,65911,0,65911,0,65911,0,65911,0,0,0,0,0,0,0,0,0,0,0
65,20,6,0,-1,"2201, 18, 1, 0",0,"2251, 25, 1, 0",0,"0, 0, 0, 0",0,0,0,65911,0,65911,0,65911,0,65911,0,0,0,0,0,0,0,0,0,0,0
66,21,1,0,0,"321, 9, 1, 0",0,"371, 9, 1, 0",0,"0, 0, 0, 0",0,0,0,71563,0,71563,0,71563,0,71563,0,0,0,0,0,0,0,0,0,0,0
67,21,6,0,0,"2201, 8, 1, 0",0,"2251, 8, 1, 0",0,"0, 0, 0, 0",0,0,0,71563,0,71563,0,71563,0,71563,0,0,0,0,0,0,0,0,0,0,0
68,21,1,0,1,"321, 9, 1, 0",0,"371, 9, 1, 0",0,"0, 0, 0, 0",0,0,0,74638,0,0,0,65595,0,74638,0,0,0,0,0,0,0,0,0,0,0
69,21,6,0,1,"2201, 8, 1, 0",0,"2251, 8, 1, 0",0,"0, 0, 0, 0",0,0,0,74638,0,0,0,65595,0,74638,0,0,0,0,0,0,0,0,0,0,0
70,22,1,0,0,"304, 1, 1, 0",0,"354, 1, 1, 0",0,"0, 0, 0, 0",0,0,0,131379,0,0,0,65843,0,0,0,0,0,0,0,0,0,0,0,0,0
71,22,6,0,0,"2201, 12, 1, 0",0,"2254, 1, 1, 0",0,"0, 0, 0, 0",0,0,0,131379,0,0,0,65843,0,0,0,0,0,0,0,0,0,0,0,0,0
72,23,1,0,0,"304, 1, 1, 0",10,"354, 1, 1, 0",10,"0, 0, 0, 0",0,0,0,131379,10,0,0,65843,10,0,0,0,0,0,0,0,0,0,0,0,0
73,23,6,0,0,"2201, 12, 1, 0",10,"2254, 1, 1, 0",10,"0, 0, 0, 0",0,0,0,131379,10,0,0,65843,10,0,0,0,0,0,0,0,0,0,0,0,0
74,22,1,0,1,"304, 1, 1, 0",0,"354, 1, 1, 0",0,"0, 0, 0, 0",0,0,0,131389,0,0,0,65853,0,0,0,0,0,0,0,0,0,0,0,0,0
75,22,6,0,1,"2201, 12, 1, 0",0,"2254, 1, 1, 0",0,"0, 0, 0, 0",0,0,0,131389,0,0,0,65853,0,0,0,0,0,0,0,0,0,0,0,0,0
76,23,1,0,1,"304, 1, 1, 0",10,"354, 1, 1, 0",10,"0, 0, 0, 0",0,0,0,131389,10,0,0,65853,10,0,0,0,0,0,0,0,0,0,0,0,0
77,23,6,0,1,"2201, 12, 1, 0",10,"2254, 1, 1, 0",10,"0, 0, 0, 0",0,0,0,131389,10,0,0,65853,10,0,0,0,0,0,0,0,0,0,0,0,0
78,24,1,0,-1,"304, 1, 1, 0",0,"354, 1, 1, 0",0,"0, 0, 0, 0",0,71559,0,71559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,24,6,0,-1,"2201, 12, 1, 0",0,"2254, 1, 1, 0",0,"0, 0, 0, 0",0,71559,0,71559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
