key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
30,3,30,0,0,-1,-1,-1,-1,-1,2,0,0,0,0
31,3,31,0,0,-1,-1,-1,-1,-1,2,0,0,0,0
32,3,32,0,0,-1,-1,-1,-1,-1,2,0,0,0,0
33,3,33,0,0,-1,-1,-1,-1,-1,2,0,0,0,0
34,3,34,0,0,-1,-1,-1,-1,-1,2,0,0,0,0
35,3,35,0,0,-1,-1,-1,-1,-1,2,0,0,0,0
36,3,36,0,0,-1,-1,-1,-1,-1,2,0,0,0,0
37,3,37,0,0,-1,-1,-1,-1,-1,2,0,0,0,0
38,3,38,0,0,-1,-1,-1,-1,-1,2,0,0,0,0
39,3,39,0,0,-1,-1,-1,-1,-1,2,0,0,0,0
40,3,40,0,0,-1,-1,-1,-1,-1,2,0,0,0,0
41,3,41,0,0,-1,-1,-1,-1,-1,2,0,0,0,0
42,3,42,0,0,-1,-1,-1,-1,-1,2,0,0,0,0
43,2,43,0,0,-1,-1,-1,-1,-1,2,0,0,0,0
44,2,44,0,0,-1,-1,-1,-1,-1,2,0,0,0,0
45,2,45,0,0,-1,-1,-1,-1,-1,2,0,0,0,0
46,2,46,0,0,-1,-1,-1,-1,-1,2,0,0,0,0
47,2,47,0,0,-1,-1,-1,-1,-1,2,0,0,0,0
48,2,48,0,0,-1,-1,-1,-1,-1,2,0,0,0,0
49,1,49,0,0,-1,-1,-1,-1,-1,4,0,0,0,0
50,1,50,0,0,-1,-1,-1,-1,-1,7,0,0,0,0
51,2,51,0,0,-1,-1,-1,-1,-1,3,0,0,0,0
52,4,52,0,0,3,2,1,-1,-1,5,3,3,0,0
53,4,53,0,0,3,2,1,-1,-1,5,3,3,0,0
54,4,54,0,0,3,2,1,-1,-1,5,3,3,0,0
55,4,55,0,0,3,2,1,-1,-1,5,3,3,0,0
56,4,56,0,0,3,2,1,-1,-1,5,3,3,0,0
57,1,1,0,0,1,-1,-1,-1,-1,20,0,0,0,0
58,1,2,0,0,1,-1,-1,-1,-1,20,0,0,0,0
59,1,3,0,0,1,-1,-1,-1,-1,20,0,0,0,0
60,1,4,0,0,1,-1,-1,-1,-1,20,0,0,0,0
61,1,5,0,0,1,-1,-1,-1,-1,20,0,0,0,0
62,1,6,0,0,1,-1,-1,-1,-1,20,0,0,0,0
63,1,7,0,0,1,-1,-1,-1,-1,20,0,0,0,0
64,1,8,0,0,1,-1,-1,-1,-1,20,0,0,0,0
65,1,9,0,0,1,-1,-1,-1,-1,20,0,0,0,0
66,1,10,0,0,1,-1,-1,-1,-1,20,0,0,0,0
67,1,11,0,0,1,-1,-1,-1,-1,20,0,0,0,0
68,1,12,0,0,1,-1,-1,-1,-1,20,0,0,0,0
69,3,13,0,0,1,-1,-1,-1,-1,20,0,0,0,0
70,3,14,0,0,1,-1,-1,-1,-1,20,0,0,0,0
71,3,15,0,0,1,-1,-1,-1,-1,20,0,0,0,0
72,3,16,0,0,1,-1,-1,-1,-1,20,0,0,0,0
73,3,17,0,0,1,-1,-1,-1,-1,20,0,0,0,0
74,3,18,0,0,1,-1,-1,-1,-1,20,0,0,0,0
75,3,19,0,0,1,-1,-1,-1,-1,20,0,0,0,0
76,3,20,0,0,1,-1,-1,-1,-1,20,0,0,0,0
77,3,21,0,0,1,-1,-1,-1,-1,20,0,0,0,0
78,3,22,0,0,1,-1,-1,-1,-1,20,0,0,0,0
79,3,23,0,0,1,-1,-1,-1,-1,20,0,0,0,0
80,3,24,0,0,1,-1,-1,-1,-1,20,0,0,0,0
81,3,25,0,0,1,-1,-1,-1,-1,20,0,0,0,0
82,3,26,0,0,1,-1,-1,-1,-1,20,0,0,0,0
83,3,27,0,0,1,-1,-1,-1,-1,20,0,0,0,0
84,3,28,0,0,1,-1,-1,-1,-1,20,0,0,0,0
85,3,29,0,0,1,-1,-1,-1,-1,20,0,0,0,0
86,3,30,0,0,1,-1,-1,-1,-1,20,0,0,0,0
87,3,31,0,0,1,-1,-1,-1,-1,20,0,0,0,0
88,3,32,0,0,1,-1,-1,-1,-1,20,0,0,0,0
89,3,33,0,0,1,-1,-1,-1,-1,20,0,0,0,0
90,3,34,0,0,1,-1,-1,-1,-1,20,0,0,0,0
91,3,35,0,0,1,-1,-1,-1,-1,20,0,0,0,0
92,3,36,0,0,1,-1,-1,-1,-1,20,0,0,0,0
93,3,37,0,0,1,-1,-1,-1,-1,20,0,0,0,0
94,3,38,0,0,1,-1,-1,-1,-1,20,0,0,0,0
95,3,39,0,0,1,-1,-1,-1,-1,20,0,0,0,0
96,3,40,0,0,1,-1,-1,-1,-1,20,0,0,0,0
97,3,41,0,0,1,-1,-1,-1,-1,20,0,0,0,0
98,3,42,0,0,1,-1,-1,-1,-1,20,0,0,0,0
99,2,43,0,0,1,-1,-1,-1,-1,20,0,0,0,0
100,2,44,0,0,1,-1,-1,-1,-1,20,0,0,0,0
101,2,45,0,0,1,-1,-1,-1,-1,20,0,0,0,0
102,2,46,0,0,1,-1,-1,-1,-1,20,0,0,0,0
103,2,47,0,0,1,-1,-1,-1,-1,20,0,0,0,0
104,2,48,0,0,1,-1,-1,-1,-1,20,0,0,0,0
105,1,49,0,0,1,-1,-1,-1,-1,20,0,0,0,0
106,1,50,0,0,1,-1,-1,-1,-1,20,0,0,0,0
107,2,51,0,0,1,-1,-1,-1,-1,20,0,0,0,0
108,4,56,0,0,1,-1,-1,-1,-1,20,0,0,0,0
109,11,57,0,0,3000,100,-1,-1,-1,3,1,0,0,0
110,11,61,0,0,4000,1500,0,-1,-1,4,3,1,0,0
111,11,60,0,0,4000,2000,0,-1,-1,4,3,1,0,0
112,11,59,0,0,7500,1600,0,-1,-1,8,3,1,0,0
113,11,62,0,0,10000,8000,5000,1000,0,10,8,5,3,1
114,6,0,0,0,1200,-1,-1,-1,-1,5,0,0,0,0
115,6,0,0,8000,1,-1,-1,-1,-1,50,0,0,0,0
116,5,64,0,0,1,-1,-1,-1,-1,50,0,0,0,0
117,12,65,68,0,5,-1,-1,-1,-1,10,0,0,0,0
118,12,66,67,0,5,-1,-1,-1,-1,10,0,0,0,0
119,12,69,70,0,5,-1,-1,-1,-1,10,0,0,0,0
120,12,71,72,0,5,-1,-1,-1,-1,10,0,0,0,0
121,12,73,74,0,5,-1,-1,-1,-1,10,0,0,0,0
122,12,75,76,0,5,-1,-1,-1,-1,10,0,0,0,0
123,9,77,0,0,1,-1,-1,-1,-1,10,0,0,0,0
124,9,78,0,0,1,-1,-1,-1,-1,10,0,0,0,0
125,9,79,0,0,1,-1,-1,-1,-1,10,0,0,0,0
126,8,80,0,0,1,-1,-1,-1,-1,10,0,0,0,0
127,8,81,0,0,1,-1,-1,-1,-1,10,0,0,0,0
128,10,82,0,0,1,-1,-1,-1,-1,10,0,0,0,0
129,10,83,0,0,1,-1,-1,-1,-1,10,0,0,0,0
130,10,84,0,0,1,-1,-1,-1,-1,10,0,0,0,0
131,10,85,0,0,1,-1,-1,-1,-1,10,0,0,0,0
132,7,86,0,0,1,-1,-1,-1,-1,10,0,0,0,0
133,7,87,0,0,1,-1,-1,-1,-1,10,0,0,0,0
134,7,88,0,0,1,-1,-1,-1,-1,10,0,0,0,0
135,7,89,0,0,1,-1,-1,-1,-1,10,0,0,0,0
136,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
137,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
138,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
139,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
140,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
141,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
142,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
143,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
144,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
145,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
146,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
147,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
148,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
149,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
150,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
151,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
152,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
153,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
154,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
155,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
156,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
157,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
158,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
159,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
160,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
161,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
162,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
163,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
164,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
165,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
166,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
167,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
168,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
169,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
170,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
171,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
172,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
173,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
174,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
175,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
176,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
177,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
178,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
179,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
180,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
181,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
182,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
183,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
184,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
185,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
186,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
187,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
188,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
189,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
190,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
191,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
192,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
193,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
194,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
195,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
196,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
197,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
198,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
199,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
200,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
