key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
27,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
28,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
29,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
30,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
31,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
32,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
33,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
34,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
35,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
36,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
37,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
38,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
39,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
40,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
41,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
42,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
43,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
44,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
45,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
46,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
47,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
48,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
49,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
50,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
51,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
52,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
53,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
54,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
55,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
56,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
57,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
58,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
59,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
60,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
61,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
62,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
63,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
64,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
65,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
66,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
67,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
68,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
69,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
70,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
71,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
72,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
73,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
74,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
75,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
76,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
77,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
78,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
79,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
80,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
81,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
82,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
83,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
84,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
85,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
86,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
87,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
88,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
89,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
90,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
91,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
92,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
93,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
94,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
95,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
96,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
97,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
98,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
99,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
100,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
101,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
102,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
103,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
104,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
105,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
106,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
107,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
108,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
109,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
110,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
111,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
112,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
113,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
114,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
115,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
116,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
117,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
118,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
119,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
120,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
121,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
122,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
123,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
124,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
125,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
126,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
127,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
128,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
129,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
130,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
131,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
132,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
133,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
134,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
135,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
136,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
137,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
138,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
139,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
140,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
141,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
142,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
143,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
144,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
145,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
146,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
147,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
148,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
149,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,False,False,0,False
