#,Name,Description,UnlockLink,Image,Unknown4,Unknown5,Unknown6
10,Der nymeische Petalodus,"In der Küstenstadt Nym wurde sich vor langer Zeit eine Legende über ein mythisches Wesen erzählt: Ein Haifisch mit Armen und Beinen. Ein gewisser Forscher vertrat schon seit längerem die Meinung, dass es sich bei diesem Mythos um eine Mutation eines echten Hais handele, der seine beiden Flossen in der Tat als Gliedmaßen nutzt und mit ihnen über den Meeresboden kriechen soll. Haie mit vier Gliedmaßen wurden hingegen für unmöglich gehalten. Dann wurde jedoch der Petalodus entdeckt. Weiterhin besagt die Legende, dass dieser niemals ein Wesen frisst, welches er als Freund definiert. Bislang ist es ihm aber wohl leider noch nicht gelungen, ordentliche Freundschaften zu schließen.",529,70623,0,4,3
11,Der Wunderpott,"Diesen ulkigen Topf dürstet es konsequent nach Elixieren. Zwar stuft die Wissenschaft solcherlei Töpfe als magische Wesen ein, über ihre Natur ist jedoch so gut wie nichts bekannt. Mancher Geist munkelt gar, dass es sich bei ihnen um koboldähnliche Gesellen handelt, was in der ein oder anderen Runde kluger Köpfe durchaus schon für hitzige Diskussionen gesorgt hat. Ebenso umstritten sind die Gründe für ihre permanente Bettelei. Von Nahrungsaufnahme bis hin zu irdischem Vergnügen ist so gut wie jede Theorie vertreten. Ob die Wahrheit hinter dieser kuriosen Unart jemals ans Licht kommen wird, ist mehr als fraglich.",531,70625,0,4,3
12,Heidklipp,"Da auf den sanft rollenden Hügeln im Süden der Insel kaum ein hoher Baum oder Strauch gedeiht, bieten sie auch keinerlei Versteck für kleinere Lebewesen. So streifen nur Riesen über die Heidklipp, deren Größe auch den aggressivsten Fleischfresser in die Flucht schlägt. Doch eines der bemerkenswertesten Merkmale, das sich auf den Hügeln erhebt, ist der steinerne Pavillon und sein eingraviertes Muster. Einem Äthergramm ähnlich, liegt die Vermutung nahe, dass dieses unscheinbare Gebäude möglicherweise der Ankerpunkt für die massive Barriere darstellt, die Kreszentia umgibt.",514,70608,11606915,2,1
13,Die unterirdische Stadt,"Das Gerippe einer Stadt, die sich tief in den Kristallhöhlen der Berge von Kreszentia befindet. Die auffälligen Spitzbögen, die sich in der Finsternis der Grotten erheben, erinnern stark an die steinerne Stadt Skalla, die in der Fünften Ära des Lichts im heutigen Gyr Abania erblühte. Heute liegt das Herz der ehemaligen Hochkultur tief im Seldsee, hinfort gewaschen von der großen Flutkatastrophe. Historiker behaupten jedoch, dass sie ursprünglich in die vom Wind erodierten Felswände gebaut wurde, und diese unterirdische Ruine gibt dieser Theorie ihrerseits einiges an Aufwind.",511,70605,11606909,2,1
14,Das mystische Idol,"Diese Keramikfigur findet sich in den hintersten Windungen der unterirdischen Stadt. Trotz der eigentlich zerbrechlichen Gestalt ist dieses Idol erstaunlich stark und an seinem Bauch finden sich magische Runen eingraviert. Mit ihnen kann es je nach Situation Kreaturen und Gegenstände beschwören, was es umso gefährlicher macht. Die Formel zur Erschaffung einer solchen Figur ist längst verloren, was aber nicht weiter verwunderlich ist. Gyr Abania war schon immer ein Knotenpunkt für den Handel mit dem Osten und so versammelten sich dort allerlei Facetten verschiedenster Kulturen. So ist zu vermuten, dass diese Art von Figuren mit den Künsten fremder Länder zum Leben erweckt wurde, was wiederum bedeutet, dass selbst Skalla nicht gewusst haben dürfte, womit genau sie es hier zu tun haben.",528,70622,0,4,3
15,Die Stadt der Schemen,"An der Südspitze der Insel erstrecken sich die prächtigen Ruinen einer einzigartigen Stadt. Über ihnen thront die gigantische Pyramide, die beinahe von überall auf Kreszentia zu sehen ist. Sie ist ein markantes Beispiel für die einzigartige Architektur der Stadt Mhach, die einst im heutigen Yafaem in Blüte stand. Doch diese Großmacht verwelkte mit dem Krieg der Magi und der Sechsten Katastrophe und seither galten die dunklen Künste von Mhach als tabu. Auch zieht es kaum eine Seele noch nach Yafaem, doch welche düsteren Geheimnisse schlummern nun in diesen Ruinen?",512,70606,11606912,2,1
16,Die schwarzen Chocobos,"Chocobos mit schwarzen Federn sind als Flug-Chocobos bekannt, die aus einem langen Zuchtprozess hervorgegangen sind. Daher kommen sie im Allgemeinen zwar nicht in der freien Wildbahn vor, aber Kreszentia sticht mit einer soliden Population schwarzer Chocobos hervor, die sich gegen die aggressivere Fauna durchzusetzen wissen und ständig um Reviere streiten. Die Frage, ob es nun entlaufene Stallchocobos vom Festland sind oder jemand sie hierhergebracht hat, gibt nach wie vor Rätsel auf.",525,70619,0,4,3
17,Der kreszente Berserker,"In der Stadt der Schemen hallen ein ums andere Mal die dröhnenden Schritte eines Riesen wider, der, anders als die anderen Bewohner dieser verlassenen Stätte, gar zu sterblich anmutet. In seiner Brust sitzt jedoch keine Seele und so liegt die Vermutung nahe, dass es sich auch hier um eine Art Familiar handeln muss - mit einem künstlichen Körper, der durch Äther zum Leben erweckt ist. Durch einen Seelensplitter hat dieses Familiar die Kunst des Berserkers gelernt und auch, wenn er nicht gerade über das höchste Maß an Intelligenz verfügt, gleicht sein Zorn diesen Makel doch mehr als aus.",526,70620,0,4,3
18,Holderwuchs,"In diesem reichen Sumpf recken alte Bäume ihre knorrigen Äste gen Himmel empor, die zwischen den Ruinen verschiedenster Zivilisationen gewurzelt haben. Dies ist aber nicht der einzige unnatürlich anmutende Aspekt des Holderwuchses. So prangt ein gigantischer Baum im Zentrum der Landschaft, sicherlich an die tausend Jahre alt, und doch handelt es sich um keine Baumart, die auf einer Insel wie Kreszentia überhaupt heimisch sein dürfte. Irgendjemand muss diesen Baum also von weit her mitgebracht haben, doch zu welchem Zweck?",515,70609,11606922,2,1
19,Die Leeren Stufen,"Unzählige Stufen führen an diesem hohen Gebäude empor, das beinahe ausschließlich aus Treppen zu bestehen scheint. So bizarr erhebt es sich aus dem Sumpf, dass es keiner bekannten Zivilisation zuzuordnen ist. So müssen die Leeren Stufen wohl einer jener Hochkulturen der Fünften Ära des Lichts angehört haben, die gänzlich unter dem Sand der Zeit verschüttet worden sind. Das leuchtende Indigo, das in den Steinen prangt, soll in dieser Zeit irgendwo als heilige Farbe gegolten haben. Nur wo? Bislang wurden keine Ruinen oder Spuren entdeckt, die Antwort auf diese Frage liefern könnten.",513,70607,11606914,2,1
20,Der Klosterdämon,"Dieser Unhold nennt die Leeren Stufen sein Zuhause. Einen Pakt mit solcherlei übernatürlichen Wesen zu schließen ist eine uralte Kunst, die auch heute noch oft genug Anwendung findet. Die so an sich gebundenen Kreaturen dienen nicht ausschließlich als kompetente Waffen, sondern können dem Paktierer auch übernatürliche Kräfte verleihen oder gar verfluchte Gegenstände erschaffen. Es liegt auf der Hand, dass Kreaturen wie der Klosterdämon vom ominösen Herrn der Insel beschworen worden sind, um im Austausch gegen Äther und einen Körper irgendeine Aufgabe auf Kreszentia zu erfüllen. Doch welche?",527,70621,0,4,3
21,Die verfallenen Hochhäuser,"Zu Füßen der schwarzen Pyramide erstreckt sich das Gerippe einer Stadt mit den Überresten von hohen Häusern, die einst mindestens fünf Stockwerke gezählt haben. Dies ist eine Charakteristik der alten Hochkultur von Mhach, die während der Fünften Ära des Lichts ihren Höhepunkt erlebte. Derlei Hochhäuser waren nur die Vorstufe für ein weitaus gewaltigeres Unternehmen: Künstliche schwimmende Inseln, die die Zivilisation vor der drohenden Flutkatastrophe retten sollten. Zeugen dieser kühnen Denkweise sind nach wie vor die magischen Runen, die sich überall auf den alten Bauten Mhachs erkennen lassen und die nötige Magie hätten liefern sollen.",518,70612,11606925,2,1
22,Die alte Werkstätte,"Die Steindiener, auch Golems genannt, entstanden wohl in genau solchen Werkstätten wie dieser. In Amdapor verfeinerten die Magier aus Mhach ihr beschwörerisches Handwerk und schufen sich Familiare, die auf eben jenen Golems basierten. Hatten sie anfangs eine noch recht simple Form, wurden sie im Laufe der Zeit doch zu immer komplexeren Kunstwerken, die erst die Realität imitierten, doch gegen Ende der Fünften Ära des Lichts zu immer fantastischeren Gebilden wurden. So sind geflügelte Löwen nur eines der bunten Beispiele, wie die Herren des Steins ihrer Kreativität freien Lauf ließen.",519,70613,11606926,2,1
23,Die Zuflucht des Wanderers,"In Nym verehrte man Oschon, den Wandergott, der zu den zwölf Gottheiten des eorzäischen Pantheon zählt. Da er auch als der Herr der Berge bekannt war, wurde tief im Gebirge Vylbrands ein Heiligtum in seinem Namen errichtet - gleichzeitig mit einem Zwillingsheiligtum am Strand, durch dessen Hallen die weiten Winde von den Bergen herab wehten. Bedauerlicherweise fielen beide Stätten der Sechsten Katastrophe zum Opfer, doch auf Kreszentia lässt sich wohl erahnen, wie sie einst ausgesehen haben mussten.",517,70611,11606924,2,1
24,Die Feuerstätte,"Eine der zwölf großen Hochkulturen der Fünften Ära des Lichts widmete sich Nald'Thal und verehrte ihn als den Gott der Schmiede. Den Legenden nach zu urteilen, wurden ihm zu Ehren große Freudenfeuer entfacht, um seine Herrschaft über das Feuer zu feiern. Eben zu diesem Zweck wurden die öffentlichen Gebäude dieser Kultur gern mit runden Flächen auf ihren Dächern ausgestattet, um derlei Scheiterhaufen errichten zu können. Auch die Leeren Stufen nennen eine solche Feuerstätte ihr Eigen.",516,70610,11606923,2,1
25,Der Herr der Insel,"Wer ist nur der ominöse Herr der Insel, der die Kontrolle über derart viele Familiare an sich brachte, inklusive der feenartigen Iris, und noch dazu ganz Kreszentia nach seinem Willen zu formen schien? Die Bauten verschiedenster Zivilisationen aus der Fünften Ära des Lichts sprenkeln das Land so dicht an dicht, dass die Vermutung nahe liegt, er wollte diese Kulturen bewahren und ihr Erbe irgendwie in die Zukunft tragen. Darüber hinaus verschloss er eben jenes zerstörerische Wissen, das den Krieg der Magi entfachte, sicher auf Kreszentia. Doch umso mehr Fragen sich klären, desto mehr neue tun sich auf. Und was hat es mit der mysteriösen Stimme auf sich, die den Weg zur Insel erst bahnte?",524,70618,0,3,2
26,Die Dämonentafel,"Dieser steinerne Wächter wehrt Eindringlinge ab, die sich Zugang zum Turm des Blutes verschaffen wollen. Er gehört zu der Kategorie des Dämonenwalls, eines gefürchteten Verteidigungsmechanismus aus dem Hause der amdaporschen Steinsoldaten. Je fortschrittlicher die Magie in Amdapor wurde, desto ausgeklügelter wurden auch die Wälle. Explizit diese Dämonentafel ist vermutlich ein spätes Werk und die Inschrift auf ihrem Stein deutet darauf hin, dass sie durch kluges, magisch unterstütztes Errechnen der optimalen Reaktionen auf unterschiedlichste Situationen operiert. Was sie natürlich auch besonders gefährlich macht.",532,70626,0,4,3
27,Das astronomische Trio,"Nereid, Triton und Phobos sind ein ganz besonderes Trio aus Familiaren. Sie verfügen über die Macht von Kälte, Hitze und Gift, mit denen sie scheinbar die aus Eorzea verpflanzte Vegetation auf Kreszentia durch geschickte Wettermanipulation erhalten sollen. Dazu wurden sie von ihrem Meister mit ausreichend Intelligenz ausgestattet, allerdings wirken sie in ihrem Sprachgebrauch und ihrem Gebaren eher kindlicher Natur. Ob dies von Anfang an geplant war oder sie diese Persönlichkeiten in der langen Zeit des Inseldienstes entwickelt haben, ist allerdings nicht klar.",533,70627,0,4,3
28,Der Marmordrache,"Unter Amdapors steinernen Streitern gehört der Marmordrache zur absoluten Elite. Er bewacht den Turm des Blutes und attackiert alles und jeden, der in seinem Inneren nichts verloren hat. Sowohl seine Form als auch seine Bewegungen gleichen echten Drachen, und doch ist er letztlich nur eine Marmorstatue, der mit geschickter Kunst und ausreichend Äther Leben eingehaucht wurde. Nichtsdestotrotz kommt er seinen Originalen derart nahe, dass man sich fragen muss, ob sein Schöpfer eigens nach Dravania gereist ist, um ihn so naturgetreu wie nur möglich nachzubilden.",534,70628,0,4,3
29,Der Magitaurus,"Die oberen Ebenen des Turmes werden von dem furchterregenden Magitaurus bewacht. Ursprünglich waren Kreaturen seiner Art nur mit wenig Intelligenz ausgestattet, sich einzig auf ihre Stärke verlassend, aber dieses Exemplar legte mit der geschickten Manipulation von Steintafeln komplexe Kampftechniken und magisches Können an den Tag. Darüber hinaus wurde der Magitaurus mit mächtigen Waffen ausgestattet, die zur Zeit des Krieges der Magi gar Legendenstatus innehatten. Darunter fallen die Runenaxt, der Stab des Weisen, der Meucheldolch und der Heiligenspeer. Dieses Arsenal macht ihn zu einem äußerst tückischen Widersacher.",535,70629,0,4,3
30,Die verborgene Bibliothek,"Hoch oben auf der Spitze des Turmes des Blutes verbirgt sich eine Bibliothek, in der unzählige Schriften, Bücher, Steintafeln und andere Schätze aus der Fünften Ära des Lichts zu finden sind. Leider kann man nichts davon entziffern, denn jedes einzelne Dokument wurde in eine unbekannte Sprache umgeschrieben. Die Schriftzeichen scheinen keiner bekannten Sprache zu gleichen, aber dennoch lässt sich aus ihnen sowohl Logik als auch System herauslesen. So muss davon ausgegangen werden, dass diese Sprache vom Verfasser selbst erfunden wurde, doch wie brisant muss das Geschriebene sein, um es derart aufwendig zu verschlüsseln?",520,70614,11606928,2,1
