#,Name,Icon,AltIcon,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown10,Category,Unknown12,Unknown13,Unknown14,Unknown15
110,Linear Knockback,240209,0,0,1,2,3,9,10,114,256,256,255,255,255,255,255,6,-1,True,False,True
111,Tower,240210,0,0,1,2,3,0,0,115,64,64,255,255,255,255,255,6,-1,True,False,False
112,Targeting Indicator,240211,0,0,1,2,3,0,0,116,64,64,255,255,255,255,255,6,-1,True,False,False
113,Enhancement Effect,240104,0,0,1,2,3,0,0,6,32,32,255,255,255,255,255,3,-1,True,True,True
114,Enfeeblement Effect,240105,0,0,1,2,3,0,0,7,32,32,255,255,255,255,255,3,-1,True,True,True
115,Target to Attack 6,61306,0,0,1,2,3,0,0,15,32,32,255,255,255,255,255,3,-1,True,False,False
116,Target to Attack 7,61307,0,0,1,2,3,0,0,16,32,32,255,255,255,255,255,3,-1,True,False,False
117,Target to Attack 8,61308,0,0,1,2,3,0,0,17,32,32,255,255,255,255,255,3,-1,True,False,False
118,Melee DPS,230954,0,0,1,2,3,0,0,14,32,32,255,255,255,255,255,2,-1,True,False,False
119,Ranged DPS,230957,0,0,1,2,3,0,0,15,32,32,255,255,255,255,255,2,-1,True,False,False
120,Physical Ranged DPS,230960,0,0,1,2,3,0,0,16,32,32,255,255,255,255,255,2,-1,True,False,False
121,Magical Ranged DPS,230961,0,0,1,2,3,0,0,17,32,32,255,255,255,255,255,2,-1,True,False,False
122,Pure Healer,230962,0,0,1,2,3,0,0,7,32,32,255,255,255,255,255,2,-1,True,False,False
123,Barrier Healer,230963,0,0,1,2,3,0,0,8,32,32,255,255,255,255,255,2,-1,True,False,False
124,Grey Circle,240007,0,0,1,2,3,0,0,3,256,256,255,255,255,255,255,1,-1,True,False,False
125,Grey Square,240008,0,0,1,2,3,0,0,4,256,256,255,255,255,255,255,1,-1,True,False,False
126,Moving Circle AoE,240213,0,0,1,2,3,0,0,117,128,128,255,255,255,255,255,6,-1,True,False,True
127,1-Person AoE,240214,0,0,1,2,3,0,0,118,64,64,255,255,255,255,255,6,-1,True,False,False
128,2-Person AoE,240215,0,0,1,2,3,0,0,119,64,64,255,255,255,255,255,6,-1,True,False,False
129,3-Person AoE,240216,0,0,1,2,3,0,0,120,64,64,255,255,255,255,255,6,-1,True,False,False
130,4-Person AoE,240217,0,0,1,2,3,0,0,121,64,64,255,255,255,255,255,6,-1,True,False,False
131,Red Lock-on Marker,240032,0,0,1,2,3,0,0,35,48,48,255,255,255,255,255,3,-1,True,False,False
132,Blue Lock-on Marker,240033,0,0,1,2,3,0,0,36,48,48,255,255,255,255,255,3,-1,True,False,False
133,Purple Lock-on Marker,240034,0,0,1,2,3,0,0,37,48,48,255,255,255,255,255,3,-1,True,False,False
134,Green Lock-on Marker,240035,0,0,1,2,3,0,0,38,48,48,255,255,255,255,255,3,-1,True,False,False
135,Highlighted Circle,240036,0,0,1,2,3,0,0,17,48,48,255,255,255,255,255,4,-1,True,False,False
136,Highlighted X,240037,0,0,1,2,3,0,0,18,48,48,255,255,255,255,255,4,-1,True,False,False
137,Highlighted Square,240038,0,0,1,2,3,0,0,19,48,48,255,255,255,255,255,4,-1,True,False,False
138,Highlighted Triangle,240039,0,0,1,2,3,0,0,20,48,48,255,255,255,255,255,4,-1,True,False,False
139,Rotate Clockwise,240040,0,0,1,2,3,0,0,21,48,48,255,255,255,255,255,4,-1,True,False,False
140,Rotate Counterclockwise,240041,0,0,1,2,3,0,0,22,48,48,255,255,255,255,255,4,-1,True,False,False
