#,Message,YesButton,NoButton
0,"C'est un dummy, vous savez ?",Je le savais !,Ah bon !?
52,Utiliser la clef d'identification impériale ?,Oui,Non
53,Utiliser l'explosif type XXXVII ?,Oui,Non
54,"Activer L'Échelon ?
(Tous les équipiers suivront.)",Oui,Non
55,"Ouvrir la porte pour Porta decumana ?
(Tous les équipiers suivront.)",Oui,Non
56,Appeler l'ascenseur ?,Oui,Non
57,Activer l'ascenseur ?,Oui,Non
58,Monter dans l'armure magitek ?,Oui,Non
59,Utiliser l'huile d'éclairage ?,Oui,Non
60,Se téléporter ?,Oui,Non
61,Se déplacer vers la prochaine zone ?,Oui,Non
62,Prendre le raccourci de Brayflox ?,Oui,Non
63,Ouvrir la barrière improvisée ?,Oui,Non
64,Se laisser aspirer par l'orbe lugubre ?,Oui,Non
65,Se laisser aspirer par l'orbe lugubre ?,Oui,Non
66,Ouvrir la porte du Lys ?,Oui,Non
67,Ouvrir la porte de la Rose ?,Oui,Non
68,Ouvrir la porte verrouillée ?,Oui,Non
69,Se déplacer vers le point de départ de l'aire d'en­traî­ne­ment n°2 ?,Oui,Non
70,Se déplacer vers le point de départ de l'aire d'en­traî­ne­ment n°3 ?,Oui,Non
71,Insérer la tablette dans le piédestal ?,Oui,Non
72,Ouvrir la porte du fenil ?,Oui,Non
73,Activer le levier d'évacuation des eaux ?,Oui,Non
74,Enfoncer la pierre du soleil dans l'emplacement de la porte ?,Oui,Non
75,Tourner la vanne ?,Oui,Non
76,Ouvrir la porte ?,Oui,Non
77,Enfoncer la pierre de la lune dans l'emplacement de la porte ?,Oui,Non
78,Placer la pierre du soleil sur le piédestal ?,Oui,Non
79,Placer la pierre de la lune sur le piédestal ?,Oui,Non
80,Placer la pierre de l'étoile sur le piédestal ?,Oui,Non
81,Ouvrir la porte du tunnel de l'hérésie ?,Oui,Non
82,Ouvrir la porte du cirque aux stalactites ?,Oui,Non
83,Se déplacer vers la prochaine zone ?,Oui,Non
84,Sortir de la chapelle d'ivoire ?,Oui,Non
85,,,
86,Utiliser la clef d'identification impériale ?,Oui,Non
87,Voulez-vous vraiment sortir de UNKNOWN ?,Oui,Non
88,(仮)本棚に魔道書を挿し込みますか？,はい,いいえ
89,Donner un œuf du tonnerre en offrande ?,Oui,Non
90,Utiliser le levier en acier pour actionner le mécanisme ?,Oui,Non
91,Ouvrir la porte de la caserne des chevaliers ?,Oui,Non
92,Ouvrir la porte de porte de la salle de commandement ?,Oui,Non
93,Activer le monte-charge ?,Oui,Non
94,Ouvrir la porte du phare ?,Oui,Non
95,Ouvrir la porte ?,Oui,Non
96,Utiliser le module de convoyage ?,Oui,Non
97,Inspecter le cristal blanc immaculé ?,Oui,Non
98,Inspecter le cristal noir immaculé ?,Oui,Non
99,"Vous sentez une aura néfaste à côté de vous.
Inspecter les environs ?",Oui,Non
100,Se téléporter ?,Oui,Non
101,Retourner à l'embarcadaire du Dalriada ?,Oui,Non
102,Ouvrir le coffre au trésor ?,Oui,Non
103,"Sortir de l'instance ?
*** La progression sera au­to­ma­ti­que­ment sauvegardée.**",Oui,Non
104,"Un ou plusieurs équipiers ne sont pas en ligne.
Voulez-vous vraiment sortir de l'instance ?
*** La progression sera au­to­ma­ti­que­ment sauvegardée.**",Oui,Non
105,"Sortir de l'instance ?
*** La progression sera au­to­ma­ti­que­ment sauvegardée.**
*** Certaines récompenses ne pourront être obtenues si l'inventaire est plein.**",Oui,Non
106,Déverrouiller la porte ?,Oui,Non
107,Utiliser le monte-charge ?,Oui,Non
108,Ouvrir la porte ixale ?,Oui,Non
109,Activer le tour du vent porteur ?,Oui,Non
110,"Sortir de l'arène Triple Triade ?
L'enregistrement pour faire un duel sera annulé.",Oui,Non
111,Ouvrir la citrouille surprise ?,Oui,Non
112,Désactiver la barrière ?,Oui,Non
113,Activer la plateforme ?,Oui,Non
114,Inspecter le cristal blanc immaculé ?,Oui,Non
115,Inspecter le cristal noir immaculé ?,Oui,Non
116,Activer le piège olfactif ?,Oui,Non
117,"（仮）魔獣を呼び寄せかねない危険をおかしても、
魔力の奔流に身を任せますか？",はい,いいえ
118,"Il est possible que vous ne puissiez pas revenir à l'intérieur de l'instance.
Quitter la Gemme manquante ?

* Vous retournerez au début de l'instance en cas de K.O.",Oui,Non
119,"(仮)緊急任務を取りやめることになります。
本当によろしいですか？",はい,いいえ
120,Activer l'énergie de l'escargot-mirage ?,Oui,Non
121,Ouvrir la porte ?,Oui,Non
122,Monter un yol ?,Oui,Non
123,Aller à la deuxième épreuve ?,Oui,Non
124,Choisir “supérieure” ?,Oui,Non
125,Choisir “inférieure” ?,Oui,Non
126,Aller à la troisième épreuve ?,Oui,Non
127,Utiliser le cristal de téléportation ?,Oui,Non
128,Tirer le levier ?,Oui,Non
129,Choisir cette carte ?,Oui,Non
130,Sortir du wagon ?,Oui,Non
131,Briser le sceau des Alignements ?,Oui,Non
132,Se téléporter ?,Oui,Non
133,Activer le cercle d'invocation ?,Oui,Non
134,Quitter le JACTA ?,Oui,Non
135,Retourner à l'entrée de la tour centrale ?,Oui,Non
136,Se téléporter ?,Oui,Non
137,Retourner ce talisman ?,Oui,Non
138,Toucher la statue d'opo-opo ?,Oui,Non
139,Toucher la statue de loup ?,Oui,Non
140,Toucher la statue de chouette ?,Oui,Non
141,Toucher la statue de coeurl ?,Oui,Non
142,Toucher la statue de serpent ?,Oui,Non
143,Toucher la statue de perroquet ?,Oui,Non
144,Franchir le portail féérique ?,Oui,Non
145,Aller à la grotte du pétrisseur ?,Oui,Non
146,Aller au puits du porteur d'eau ?,Oui,Non
147,Aller au caveau du rôtisseur ?,Oui,Non
148,Revenir au repaire de la sorcière ?,Oui,Non
149,Utiliser le cristal de téléportation ?,Oui,Non
150,Se téléporter ?,Oui,Non
151,Se téléporter ?,Oui,Non
152,Aller au chantier naval de Moraby ?,Oui,Non
153,Remettre la statuette à sa place ?,Oui,Non
154,Activer la balance ?,Oui,Non
155,Utiliser le téléporteur ?,Oui,Non
156,,,
157,Tourner la statue de Suzaku ?,Oui,Non
158,Tourner la statue de Seiryû ?,Oui,Non
159,Toucher la boule de cristal ?,Oui,Non
160,Un katana aux sinistres décorations repose dans sa boîte... Voulez-vous la refermer ?,Oui,Non
161,Ouvrir la porte ?,Oui,Non
162,Tirer la corde ?,Oui,Non
163,Tirer la corde ?,Oui,Non
164,Se téléporter ?,Oui,Non
165,Une statuette est logée dans le creux de l'arbre. Voulez-vous la récupérer ?,Oui,Non
166,L'autel contient un piédestal. Voulez-vous y poser le dogû ?,Oui,Non
167,Utiliser le téléporteur ?,Oui,Non
168,Toucher la faille interdimensionnelle ?,Oui,Non
169,Utiliser la machine à rêves ?,Oui,Non
170,,,
