#,Name,Category,Unknown0,Description,DutyType,Unknown1,Image,Unknown2,Unknown3,Unknown6,ItemLevelRequired,ItemLevelSync,RewardTomeA,RewardTomeB,RewardTomeC,Unknown5,InstanceContent,RequiredExVersion,OpenRule,RequiredLevel,SyncedFromLevel,ContentRouletteRoleBonus,SortKey,ClassJobCategory,ContentMemberType,Unknown9,QueueMaxPlayers,ContentType,Unknown12,TimeLimit,TimeLimitMax,LootModeType,Unknown15,PenaltyTimestampArrayIndex,CompletionArrayIndex,IsGoldSaucer,IsInDutyFinder,IsPvP,AppliesHighestAverageDutyItemLevel,Unknown18,AllowConsumableItems,AllowPhoenixDown,AllowReplacement,RatedMatch,Rated,Unknown22,Unknown23,Unknown24,IsRegistrationAllowedFromAnyDataCenter
10,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,Mission aléatoire : raids en alliance,Raids en alliance,,"Cette option sélectionne aléatoirement une mission parmi les raids en alliance (24 joueurs) auxquels vous avez accès, avec une plus grande récompense en cas de réussite.

* Le bonus de gils est basé sur le niveau de la classe ou du job avec lequel vous participez, et ce qui aura été reçu au cours de la mission y sera soustrait.
* La récompense de mission aléatoire est limitée à une fois par jour. Le compteur est réinitialisé tous les jours à 0h (temps réel).
* Le bonus de rôle en nombre insuffisant est attribué en fonction des rôles manquants lors de l'enregistrement.",Type de missions : raids en alliance,0,112259,0,0,0,70,0,120,120,50,0,0,0,1,50,50,9,8,142,5,0,0,1,0,120,0,2,0,0,9,False,True,False,True,True,True,False,True,False,False,False,False,True,True
16,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,Mission aléatoire : raids normaux,Raids normaux,,"Cette option sélectionne aléatoirement une mission parmi les raids normaux (8 joueurs) auxquels vous avez accès, avec une plus grande récompense en cas de réussite.

* Le bonus de gils est basé sur le niveau de la classe ou du job avec lequel vous participez, et ce qui aura été reçu au cours de la mission y sera soustrait.
* La récompense de mission aléatoire est limitée à une fois par jour. Le compteur est réinitialisé tous les jours à 0h (temps réel).
* Le bonus de rôle en nombre insuffisant est attribué en fonction des rôles manquants lors de l'enregistrement.
* Le bonus de rôle en nombre insuffisant n'est pas attribué dans le cas d'une petite équipe déjà formée.",Type de missions : raids normaux (8 joueurs),0,112294,0,0,0,170,0,80,60,20,0,0,1,1,60,60,10,9,142,3,0,0,1,0,90,0,2,0,0,10,False,True,False,False,True,True,False,True,False,False,False,False,True,True
18,Course de chocobos : Route de Sagolii,Route de Sagolii,,"Le jockey et son fidèle chocobo de selle resserrent un peu plus leurs liens à chaque foulée. Ensemble, ils disputent une course haletante et poursuivent une même récompense : la gloire et l'amitié. Voilà l'essence des courses de chocobos !

* La catégorie de la course sera déterminée en fonction de la cote de votre chocobo.
* Si vous vous inscrivez en équipe, la catégorie sera déterminée en fonction de la plus basse cote parmi les chocobos par­ti­ci­pants.
* La cote d'un chocobo est ajustée si elle dépasse la valeur maximum de la catégorie dans laquelle il concourt.
* Les par­ti­ci­pants peuvent utiliser le mode de discussion Équipe pour s'envoyer des messages.",,0,112086,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,32,109,23,3,8,19,26,10,0,0,0,0,-1,True,True,False,False,True,True,True,False,False,False,False,False,True,True
19,Course de chocobos : Costa del Sol,Costa del Sol,,"Le jockey et son fidèle chocobo de selle resserrent un peu plus leurs liens à chaque foulée. Ensemble, ils disputent une course haletante et poursuivent une même récompense : la gloire et l'amitié. Voilà l'essence des courses de chocobos !

* La catégorie de la course sera déterminée en fonction de la cote de votre chocobo.
* Si vous vous inscrivez en équipe, la catégorie sera déterminée en fonction de la plus basse cote parmi les chocobos par­ti­ci­pants.
* La cote d'un chocobo est ajustée si elle dépasse la valeur maximum de la catégorie dans laquelle il concourt.
* Les par­ti­ci­pants peuvent utiliser le mode de discussion Équipe pour s'envoyer des messages.",,0,112084,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,33,109,23,3,8,19,26,10,0,0,0,0,-1,True,True,False,False,True,True,True,False,False,False,False,False,True,True
20,Course de chocobos : Sentes tranquilles,Sentes tranquilles,,"Le jockey et son fidèle chocobo de selle resserrent un peu plus leurs liens à chaque foulée. Ensemble, ils disputent une course haletante et poursuivent une même récompense : la gloire et l'amitié. Voilà l'essence des courses de chocobos !

* La catégorie de la course sera déterminée en fonction de la cote de votre chocobo.
* Si vous vous inscrivez en équipe, la catégorie sera déterminée en fonction de la plus basse cote parmi les chocobos par­ti­ci­pants.
* La cote d'un chocobo est ajustée si elle dépasse la valeur maximum de la catégorie dans laquelle il concourt.
* Les par­ti­ci­pants peuvent utiliser le mode de discussion Équipe pour s'envoyer des messages.",,0,112085,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,34,109,23,3,8,19,26,10,0,0,0,0,-1,True,True,False,False,True,True,True,False,False,False,False,False,True,True
21,Course de chocobos : aléatoire,Aléatoire,,"Le jockey et son fidèle chocobo de selle resserrent un peu plus leurs liens à chaque foulée. Ensemble, ils disputent une course haletante et poursuivent une même récompense : la gloire et l'amitié. Voilà l'essence des courses de chocobos !

* La course est sé­lec­tion­née aléatoirement.
* La catégorie de la course sera déterminée en fonction de la cote de votre chocobo.
* Si vous vous inscrivez en équipe, la catégorie sera déterminée en fonction de la plus basse cote parmi les chocobos par­ti­ci­pants.
* La cote d'un chocobo est ajustée si elle dépasse la valeur maximum de la catégorie dans laquelle il concourt.
* Les par­ti­ci­pants peuvent utiliser le mode de discussion Équipe pour s'envoyer des messages.",,0,112295,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,31,109,23,3,8,19,26,10,0,0,0,0,-1,True,True,False,False,True,True,True,False,False,False,False,False,True,True
22,Course de chocobos : Route de Sagolii (sans récompense),Route de Sagolii (sans récompense),,"Le jockey et son fidèle chocobo de selle resserrent un peu plus leurs liens à chaque foulée. Ensemble, ils disputent une course haletante et poursuivent une même récompense : la gloire et l'amitié. Voilà l'essence des courses de chocobos !

* La catégorie de la course sera déterminée en fonction de la cote de votre chocobo.
* Si vous vous inscrivez en équipe, la catégorie sera déterminée en fonction de la plus basse cote parmi les chocobos par­ti­ci­pants.
* La cote d'un chocobo est ajustée si elle dépasse la valeur maximum de la catégorie dans laquelle il concourt.
* Les par­ti­ci­pants peuvent utiliser le mode de discussion Équipe pour s'envoyer des messages.
* Ni récompense ni points d'expérience ne sont octroyés.",,0,112086,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,36,109,23,3,8,19,27,10,0,0,0,0,-1,True,True,False,False,True,True,True,False,False,False,False,False,True,True
23,Course de chocobos : Costa del Sol (sans récompense),Costa del Sol (sans récompense),,"Le jockey et son fidèle chocobo de selle resserrent un peu plus leurs liens à chaque foulée. Ensemble, ils disputent une course haletante et poursuivent une même récompense : la gloire et l'amitié. Voilà l'essence des courses de chocobos !

* La catégorie de la course sera déterminée en fonction de la cote de votre chocobo.
* Si vous vous inscrivez en équipe, la catégorie sera déterminée en fonction de la plus basse cote parmi les chocobos par­ti­ci­pants.
* La cote d'un chocobo est ajustée si elle dépasse la valeur maximum de la catégorie dans laquelle il concourt.
* Les par­ti­ci­pants peuvent utiliser le mode de discussion Équipe pour s'envoyer des messages.
* Ni récompense ni points d'expérience ne sont octroyés.",,0,112084,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,37,109,23,3,8,19,27,10,0,0,0,0,-1,True,True,False,False,True,True,True,False,False,False,False,False,True,True
24,Course de chocobos : Sentes tranquilles (sans récompense),Sentes tranquilles (sans récompense),,"Le jockey et son fidèle chocobo de selle resserrent un peu plus leurs liens à chaque foulée. Ensemble, ils disputent une course haletante et poursuivent une même récompense : la gloire et l'amitié. Voilà l'essence des courses de chocobos !

* La catégorie de la course sera déterminée en fonction de la cote de votre chocobo.
* Si vous vous inscrivez en équipe, la catégorie sera déterminée en fonction de la plus basse cote parmi les chocobos par­ti­ci­pants.
* La cote d'un chocobo est ajustée si elle dépasse la valeur maximum de la catégorie dans laquelle il concourt.
* Les par­ti­ci­pants peuvent utiliser le mode de discussion Équipe pour s'envoyer des messages.
* Ni récompense ni points d'expérience ne sont octroyés.",,0,112085,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,38,109,23,3,8,19,27,10,0,0,0,0,-1,True,True,False,False,True,True,True,False,False,False,False,False,True,True
25,Course de chocobos : aléatoire (sans récompense),Aléatoire (sans récompense),,"Le jockey et son fidèle chocobo de selle resserrent un peu plus leurs liens à chaque foulée. Ensemble, ils disputent une course haletante et poursuivent une même récompense : la gloire et l'amitié. Voilà l'essence des courses de chocobos !

* La course est sé­lec­tion­née aléatoirement.
* La catégorie de la course sera déterminée en fonction de la cote de votre chocobo.
* Si vous vous inscrivez en équipe, la catégorie sera déterminée en fonction de la plus basse cote parmi les chocobos par­ti­ci­pants.
* La cote d'un chocobo est ajustée si elle dépasse la valeur maximum de la catégorie dans laquelle il concourt.
* Les par­ti­ci­pants peuvent utiliser le mode de discussion Équipe pour s'envoyer des messages.
* Ni récompense ni points d'expérience ne sont octroyés.",,0,112295,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,35,109,23,3,8,19,27,10,0,0,0,0,-1,True,True,False,False,True,True,True,False,False,False,False,False,True,True
26,Course de chocobos : aléatoire,Aléatoire,,,,0,112295,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,34,109,23,3,8,19,0,10,0,0,0,0,-1,True,False,False,False,False,True,True,False,False,False,False,False,True,True
27,Course de chocobos : aléatoire,Aléatoire,,,,0,112295,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,35,109,23,3,8,19,0,10,0,0,0,0,-1,True,False,False,False,False,True,True,False,False,False,False,False,True,True
28,Course de chocobos : aléatoire,Aléatoire,,,,0,112295,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,36,109,23,3,8,19,0,10,0,0,0,0,-1,True,False,False,False,False,True,True,False,False,False,False,False,True,True
29,Course de chocobos : aléatoire,Aléatoire,,,,0,112295,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,37,109,23,3,8,19,0,10,0,0,0,0,-1,True,False,False,False,False,True,True,False,False,False,False,False,True,True
30,Course de chocobos : aléatoire,Aléatoire,,,,0,112295,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,38,109,23,3,8,19,0,10,0,0,0,0,-1,True,False,False,False,False,True,True,False,False,False,False,False,True,True
31,Course de chocobos : aléatoire,Aléatoire,,,,0,112295,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,39,109,23,3,8,19,0,10,0,0,0,0,-1,True,False,False,False,False,True,True,False,False,False,False,False,True,True
32,Course de chocobos : aléatoire,Aléatoire,,,,0,112295,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,40,109,23,3,8,19,0,10,0,0,0,0,-1,True,False,False,False,False,True,True,False,False,False,False,False,True,True
33,Course de chocobos : aléatoire,Aléatoire,,,,0,112295,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,41,109,23,3,8,19,0,10,0,0,0,0,-1,True,False,False,False,False,True,True,False,False,False,False,False,True,True
34,Course de chocobos : aléatoire,Aléatoire,,,,0,112295,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,42,109,23,3,8,19,0,10,0,0,0,0,-1,True,False,False,False,False,True,True,False,False,False,False,False,True,True
35,Course de chocobos : aléatoire,Aléatoire,,,,0,112295,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,43,109,23,3,8,19,0,10,0,0,0,0,-1,True,False,False,False,False,True,True,False,False,False,False,False,True,True
36,Course de chocobos : aléatoire,Aléatoire,,,,0,112295,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,44,109,23,3,8,19,0,10,0,0,0,0,-1,True,False,False,False,False,True,True,False,False,False,False,False,True,True
37,Course de chocobos : aléatoire,Aléatoire,,,,0,112295,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,45,109,23,3,8,19,0,10,0,0,0,0,-1,True,False,False,False,False,True,True,False,False,False,False,False,True,True
38,Course de chocobos : aléatoire,Aléatoire,,,,0,112295,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,46,109,23,3,8,19,0,10,0,0,0,0,-1,True,False,False,False,False,True,True,False,False,False,False,False,True,True
39,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,Crystalline Conflict (partie non classée),Partie non classée,,"Crystalline Conflict, le nouveau scénario d'en­traî­ne­ment militaire imaginé par l'Alliance éorzéenne, met en scène de petites escouades se livrant de féroces escarmouches. Il ne s'agit pas simplement de vaincre l'équipe adverse, mais d'acheminer une ressource clef unique, le cristal tactique, jusqu'à l'objectif ; le tout dans des décors variés, fruits d'un illusionnisme de haut vol. Aux armes, combattants, la victoire se trouve au bout du chemin !",,0,112471,0,0,0,0,0,0,0,0,0,40027,0,3,30,30,0,47,146,29,3,2,6,43,5,0,0,0,0,-1,False,True,True,False,True,False,False,False,False,False,False,False,True,True
41,Crystalline Conflict (partie classée),Partie classée,,"Crystalline Conflict, le nouveau scénario d'en­traî­ne­ment militaire imaginé par l'Alliance éorzéenne, met en scène de petites escouades se livrant de féroces escarmouches. Il ne s'agit pas simplement de vaincre l'équipe adverse, mais d'acheminer une ressource clef unique, le cristal tactique, jusqu'à l'objectif ; le tout dans des décors variés, fruits d'un illusionnisme de haut vol. Aux armes, combattants, la victoire se trouve au bout du chemin !

* Vos étoiles de victoire et vos points de cristal évolueront en fonction du résultat de la partie.
* Vos adversaires seront sélectionnés parmi des joueurs d'échelon et de palier proches.
* Les joueurs seront répartis en fonction de leur rôle, échelon, palier et points de cristal de façon à obtenir des équipes équilibrées.",,0,112472,0,0,1,0,0,0,0,0,0,40030,0,3,30,30,0,48,146,29,3,1,6,43,5,0,0,0,1,-1,False,True,True,False,True,False,False,False,False,False,False,False,True,False
